Source,Target
0,2
0,1
1,0
2,0
4,3
7,8
8,7
9,10
10,9
11,12
12,11
13,37
13,26
13,35
16,29
17,16
18,17
19,20
20,19
21,22
22,21
24,23
25,47
25,32
26,1
26,52
29,13
30,31
30,62
30,18
32,25
32,39
34,0
39,25
39,32
40,72
41,40
43,42
45,33
46,61
46,44
49,83
50,116
50,115
52,2
52,26
53,50
54,55
56,191
56,61
56,157
56,168
57,48
57,103
57,94
58,51
61,60
62,59
63,4
65,45
67,114
67,113
69,68
70,0
73,95
73,41
74,171
74,48
74,194
75,54
76,186
76,7
76,87
77,76
80,79
83,49
85,184
86,252
86,251
86,328
87,7
89,119
89,107
89,229
90,6
92,88
93,92
93,104
94,325
94,383
94,108
97,275
97,131
97,198
98,63
99,98
100,105
101,170
101,149
103,112
103,57
104,77
105,100
106,109
108,304
108,217
108,214
109,106
110,160
110,263
112,111
114,67
116,208
116,80
117,159
118,265
118,125
119,75
119,206
121,75
123,127
124,120
126,174
126,232
126,333
126,428
126,182
130,150
130,62
130,122
132,135
133,84
133,18
135,132
136,192
136,281
136,125
138,139
138,237
140,219
141,176
142,133
142,49
143,137
144,57
144,260
145,147
147,146
148,19
150,122
151,142
153,5
154,73
155,230
155,203
156,48
158,608
158,107
158,589
158,139
158,593
160,148
161,91
162,161
163,162
164,698
164,842
164,693
164,169
164,928
164,405
164,749
164,1208
164,781
164,346
164,56
164,311
164,483
165,112
168,56
169,224
169,571
169,399
169,254
169,361
170,101
171,724
171,660
171,451
171,165
171,247
171,802
171,48
171,112
172,167
173,150
174,452
174,345
174,53
174,152
174,339
174,308
174,48
174,144
175,31
176,141
177,236
178,283
178,344
179,177
180,249
180,207
181,586
181,57
181,152
181,194
182,53
182,183
183,284
183,575
183,416
183,48
183,782
183,210
183,156
184,57
185,459
185,456
185,645
185,720
186,7
187,166
188,185
189,164
189,397
189,616
190,141
190,104
190,18
191,56
192,125
192,196
192,74
192,637
192,136
193,56
194,193
195,179
196,74
196,53
199,200
200,5
202,58
203,202
207,39
207,915
207,312
207,180
207,249
207,110
207,468
208,154
209,153
210,260
210,57
211,178
212,11
213,212
214,268
214,139
214,719
214,64
215,154
216,23
217,110
218,215
219,140
219,439
221,155
223,180
224,174
224,125
224,238
224,136
225,209
226,110
227,159
227,216
228,222
229,107
229,89
230,155
232,259
232,183
232,393
232,512
233,225
234,233
236,227
237,75
238,259
238,196
238,971
238,787
238,144
238,136
240,310
240,342
240,599
240,256
240,189
240,370
240,832
241,122
241,518
241,130
241,573
241,494
242,288
242,377
243,458
243,378
244,334
245,102
245,302
245,368
245,376
246,957
246,647
246,391
248,252
248,86
249,160
249,124
249,354
250,889
250,445
250,750
250,634
250,274
251,104
252,86
253,199
254,118
254,174
254,183
254,345
254,57
254,53
254,181
254,431
254,182
254,210
256,1160
256,1028
256,890
256,189
256,790
256,923
257,559
257,296
257,322
258,259
258,174
258,675
258,711
258,126
258,232
258,144
258,181
258,910
258,436
258,1312
259,183
259,181
259,74
259,144
259,156
259,1091
260,61
262,130
262,639
262,31
264,250
267,329
267,303
269,850
269,633
270,310
270,374
270,189
270,370
271,171
271,437
271,247
271,595
275,97
276,179
278,91
281,118
281,125
281,53
283,178
284,53
284,152
284,27
284,330
284,1278
284,48
285,31
286,562
286,393
286,173
286,50
287,254
287,182
288,396
288,242
289,357
289,195
291,350
291,741
294,48
294,380
295,291
296,3
298,77
299,315
300,308
300,48
300,534
300,761
301,43
301,42
302,231
303,235
303,489
304,352
305,122
305,30
305,18
306,51
308,48
309,158
309,108
309,684
310,258
310,313
310,321
311,1925
311,888
311,169
311,679
311,479
311,928
311,258
311,871
311,995
311,144
311,790
311,337
311,1320
312,207
313,1346
313,794
313,1274
313,108
313,1132
314,126
314,1108
314,410
314,399
314,339
314,682
314,391
314,1316
314,784
315,198
315,97
316,1501
316,401
316,302
316,604
316,96
316,245
316,2307
316,2241
316,885
316,231
317,73
318,695
318,680
319,97
319,379
320,57
320,431
320,48
320,136
322,292
323,84
324,526
324,155
324,580
324,347
